iter	RMSE
0	79305.05445
1	79280.04949
2	79244.96324
3	79221.84577
4	79184.97603
5	79161.33448
6	79117.72422
7	79096.30138
8	79071.64313
9	79044.69937
10	79034.25073
11	78999.02133
12	78971.79776
13	78934.13652
14	78916.07278
15	78887.2471
16	78856.56132
17	78843.13678
18	78812.14211
19	78789.48844
20	78772.28303
21	78746.61969
22	78718.98046
23	78694.7311
24	78668.12342
25	78636.69087
26	78614.85923
27	78606.06702
28	78576.57548
29	78566.15699
30	78523.66363
31	78490.15746
32	78470.6467
33	78436.79324
34	78415.00447
35	78370.67991
36	78339.50893
37	78308.13544
38	78275.334
39	78243.64938
40	78217.60086
41	78217.47994
42	78194.75938
43	78190.70557
44	78160.71801
45	78130.59066
46	78101.16055
47	78084.51678
48	78073.92478
49	78051.72652
50	78031.11126
51	78009.06787
52	77991.63961
53	77981.64928
54	77963.23208
55	77949.18121
56	77944.80917
57	77916.2212
58	77908.15668
59	77877.12649
60	77854.39542
61	77837.93817
62	77827.25842
63	77810.42684
64	77798.9606
65	77798.95569
66	77784.49604
67	77779.11373
68	77750.65622
69	77721.65138
70	77691.39279
71	77690.57149
72	77683.98005
73	77661.48125
74	77620.6678
75	77590.11515
76	77568.76821
77	77550.24305
78	77500.57896
79	77479.46243
80	77462.11913
81	77434.70316
82	77408.1213
83	77399.91576
84	77381.16911
85	77363.25183
86	77351.06261
87	77330.21324
88	77312.54905
89	77284.37242
90	77268.01601
91	77242.48459
92	77215.24285
93	77203.54764
94	77183.40612
95	77172.12578
96	77157.24795
97	77134.29691
98	77100.70777
99	77084.55742
100	77070.10416
101	77015.64026
102	77005.09829
103	76986.37789
104	76966.59193
105	76948.9184
106	76914.15666
107	76891.16174
108	76881.32297
109	76843.3686
110	76830.32228
111	76816.89561
112	76793.68829
113	76792.30061
114	76776.42794
115	76766.06098
116	76765.94457
117	76748.27381
118	76714.78206
119	76696.6976
120	76674.63486
121	76636.98805
122	76627.15201
123	76603.21337
124	76587.32915
125	76569.21732
126	76524.59577
127	76518.40824
128	76510.84027
129	76500.56599
130	76485.40902
131	76485.29259
132	76474.51624
133	76472.4546
134	76461.48444
135	76455.30388
136	76441.00585
137	76420.20992
138	76401.39575
139	76401.27961
140	76397.48832
141	76397.18638
142	76377.7809
143	76372.1984
