iter	Passed	Remaining
0	21	42285
1	45	45265
2	68	45786
3	89	44856
4	118	47395
5	148	49338
6	174	49747
7	200	49916
8	226	50110
9	252	50315
10	277	50150
11	302	50057
12	326	49945
13	350	49782
14	380	50299
15	405	50237
16	430	50190
17	453	49971
18	480	50085
19	504	49956
20	530	49953
21	553	49762
22	579	49820
23	603	49664
24	627	49597
25	651	49480
26	677	49473
27	689	48531
28	714	48564
29	738	48472
30	763	48495
31	787	48415
32	812	48459
33	836	48360
34	861	48355
35	885	48301
36	911	48382
37	937	48378
38	962	48421
39	987	48380
40	1014	48449
41	1029	47998
42	1054	47991
43	1070	47574
44	1095	47591
45	1121	47619
46	1146	47650
47	1170	47597
48	1188	47303
49	1213	47338
50	1242	47488
51	1267	47466
52	1291	47459
53	1316	47460
54	1342	47465
55	1367	47481
56	1388	47329
57	1413	47324
58	1425	46893
59	1450	46883
60	1475	46893
61	1500	46898
62	1512	46505
63	1537	46501
64	1563	46536
65	1567	45941
66	1592	45944
67	1600	45459
68	1625	45482
69	1649	45475
70	1674	45502
71	1682	45049
72	1694	44739
73	1719	44762
74	1744	44767
75	1769	44794
76	1793	44782
77	1818	44802
78	1841	44789
79	1867	44815
80	1891	44822
81	1916	44833
82	1941	44841
83	1966	44864
84	1992	44878
85	2017	44898
86	2041	44888
87	2066	44908
88	2091	44910
89	2116	44922
90	2141	44915
91	2165	44916
92	2191	44930
93	2216	44952
94	2243	44989
95	2268	44996
96	2294	45018
97	2321	45051
98	2345	45034
99	2370	45045
100	2395	45042
101	2421	45067
102	2446	45057
103	2471	45058
104	2496	45047
105	2521	45045
106	2545	45025
107	2570	45035
108	2594	45018
109	2621	45041
110	2646	45040
111	2672	45047
112	2700	45102
113	2726	45112
114	2751	45107
115	2776	45099
116	2789	44887
117	2814	44887
118	2839	44886
119	2865	44889
120	2885	44809
121	2910	44800
122	2936	44807
123	2961	44811
124	2986	44802
125	3012	44810
126	3038	44813
127	3064	44821
128	3089	44813
129	3115	44813
130	3140	44808
131	3149	44571
132	3173	44547
133	3198	44545
134	3224	44551
135	3241	44432
136	3266	44423
137	3294	44452
138	3318	44435
139	3326	44195
140	3351	44192
141	3363	44011
142	3388	44001
143	3404	43880
144	3422	43780
145	3447	43776
146	3471	43760
147	3497	43770
148	3521	43746
149	3549	43771
150	3565	43654
151	3589	43646
152	3598	43438
153	3622	43426
154	3647	43422
155	3673	43417
156	3688	43304
157	3713	43293
158	3737	43277
159	3764	43286
160	3788	43278
161	3805	43177
162	3830	43171
163	3854	43153
164	3880	43160
165	3906	43154
166	3930	43143
167	3956	43145
168	3982	43147
169	4007	43140
170	4031	43123
171	4055	43104
172	4081	43103
173	4101	43039
174	4126	43028
175	4150	43011
176	4175	43007
177	4201	43010
178	4229	43030
179	4253	43011
180	4265	42871
181	4291	42865
182	4315	42852
183	4341	42848
184	4365	42827
185	4391	42832
186	4418	42838
187	4444	42841
188	4470	42836
189	4496	42831
190	4515	42763
191	4542	42774
192	4568	42770
193	4590	42732
194	4616	42732
195	4642	42731
196	4670	42743
197	4696	42745
198	4721	42733
199	4745	42708
200	4770	42699
201	4794	42677
202	4820	42668
203	4844	42654
204	4870	42642
205	4877	42478
206	4903	42472
207	4919	42380
208	4944	42371
209	4968	42352
210	4994	42350
211	5021	42349
212	5047	42344
213	5071	42328
214	5096	42309
215	5120	42290
216	5145	42280
217	5170	42265
218	5196	42256
219	5221	42247
220	5246	42230
221	5271	42221
222	5296	42207
223	5321	42189
224	5346	42174
225	5371	42160
226	5395	42144
227	5407	42028
228	5432	42013
229	5448	41927
230	5473	41916
231	5497	41898
232	5522	41881
233	5547	41865
234	5572	41856
235	5593	41805
236	5617	41790
237	5642	41769
238	5668	41766
239	5695	41766
240	5720	41751
241	5743	41722
242	5768	41710
243	5793	41692
244	5817	41674
245	5836	41616
246	5857	41571
247	5882	41560
248	5908	41547
249	5933	41533
250	5945	41426
251	5970	41411
252	5994	41394
253	6022	41399
254	6048	41394
255	6075	41388
256	6100	41373
257	6126	41363
258	6150	41342
259	6176	41336
260	6193	41265
261	6219	41259
262	6244	41243
263	6269	41228
264	6294	41211
265	6322	41212
266	6337	41137
267	6363	41125
268	6387	41105
269	6413	41091
270	6437	41072
271	6463	41063
272	6487	41042
273	6526	41110
274	6554	41116
275	6587	41148
276	6613	41138
277	6645	41166
278	6675	41175
279	6704	41186
280	6731	41179
281	6763	41206
282	6799	41251
283	6826	41249
284	6851	41231
285	6877	41217
286	6901	41194
287	6927	41180
288	6951	41157
289	6978	41149
290	7002	41125
291	7018	41052
292	7043	41033
293	7067	41010
294	7092	40993
295	7116	40970
296	7142	40954
297	7167	40936
298	7195	40935
299	7221	40921
300	7246	40903
301	7271	40885
302	7297	40871
303	7309	40781
304	7336	40770
305	7360	40749
306	7387	40738
307	7407	40693
308	7432	40675
309	7457	40656
310	7484	40645
311	7508	40622
312	7533	40604
313	7558	40585
314	7583	40565
315	7609	40551
316	7627	40494
317	7653	40481
318	7678	40460
319	7699	40424
320	7725	40408
321	7750	40388
322	7775	40372
323	7799	40347
324	7813	40270
325	7838	40251
326	7863	40229
327	7889	40215
328	7913	40192
329	7938	40174
330	7963	40153
331	7988	40137
332	8012	40110
333	8037	40093
334	8061	40068
335	8087	40050
336	8111	40025
337	8136	40010
338	8160	39986
339	8187	39974
340	8212	39954
341	8239	39943
342	8247	39840
343	8272	39824
344	8297	39802
345	8318	39763
346	8342	39741
347	8367	39722
348	8392	39702
349	8417	39681
350	8442	39664
351	8467	39644
352	8492	39624
353	8508	39561
354	8534	39549
355	8566	39560
356	8602	39588
357	8629	39578
358	8661	39590
359	8676	39525
360	8704	39521
361	8730	39504
362	8739	39411
363	8766	39399
364	8791	39381
365	8804	39307
366	8832	39299
367	8858	39286
368	8889	39293
369	8917	39287
370	8955	39320
371	8968	39250
372	9013	39315
373	9049	39344
374	9083	39360
375	9114	39368
376	9148	39383
377	9181	39398
378	9195	39329
379	9231	39354
380	9262	39360
381	9295	39373
382	9326	39375
383	9363	39402
384	9395	39412
385	9427	39418
386	9448	39380
387	9476	39370
388	9502	39351
389	9536	39367
390	9577	39413
391	9615	39443
392	9646	39443
393	9673	39429
394	9697	39404
395	9719	39368
396	9747	39356
397	9775	39349
398	9800	39323
399	9828	39312
400	9853	39291
401	9881	39281
402	9907	39262
403	9933	39240
404	9960	39227
405	9989	39221
406	10018	39212
407	10052	39224
408	10089	39246
409	10128	39278
410	10160	39281
411	10195	39296
412	10224	39289
413	10259	39305
414	10289	39296
415	10315	39277
416	10341	39258
417	10368	39242
418	10393	39219
419	10420	39201
420	10445	39177
421	10472	39159
422	10498	39138
423	10524	39117
424	10548	39092
425	10570	39056
426	10596	39036
427	10622	39014
428	10646	38988
429	10672	38968
430	10699	38948
431	10724	38927
432	10750	38903
433	10758	38819
434	10773	38760
435	10785	38690
436	10811	38669
437	10831	38627
438	10857	38606
439	10882	38584
440	10896	38521
441	10921	38497
442	10946	38472
443	10972	38451
444	10997	38428
445	11015	38382
446	11036	38344
447	11060	38318
448	11086	38297
449	11115	38287
450	11141	38267
451	11170	38257
452	11192	38223
453	11215	38191
454	11240	38169
455	11266	38148
456	11292	38128
457	11317	38104
458	11343	38083
459	11369	38062
460	11396	38044
461	11421	38022
462	11448	38004
463	11472	37976
464	11497	37955
465	11523	37932
466	11552	37923
467	11582	37915
468	11609	37896
469	11633	37871
470	11658	37847
471	11683	37823
472	11709	37802
473	11734	37777
474	11760	37756
475	11784	37729
476	11809	37705
477	11833	37679
478	11854	37641
479	11880	37621
480	11888	37543
481	11913	37520
482	11938	37494
483	11964	37475
484	11988	37449
485	12013	37425
486	12038	37400
487	12064	37378
488	12088	37354
489	12113	37328
490	12138	37306
491	12166	37290
492	12192	37270
