iter	RMSE
0	76688.57088
1	76173.11654
2	75707.65918
3	75239.05322
4	74766.33939
5	74275.3697
6	73873.09964
7	73456.62543
8	72981.62591
9	72546.29249
10	72114.87334
11	71662.88685
12	71231.31977
13	70794.95511
14	70332.88546
15	69897.50017
16	69516.38299
17	69105.43909
18	68701.77695
19	68288.82531
20	67893.27115
21	67470.47699
22	67068.37989
23	66660.79116
24	66275.34628
25	65903.55127
26	65497.11904
27	65115.87461
28	64772.4052
29	64395.19405
30	63994.70321
31	63652.85766
32	63308.43758
33	62965.41467
34	62607.3562
35	62253.41425
36	61941.47627
37	61565.25616
38	61207.75359
39	60864.70702
40	60527.99157
41	60195.31384
42	59876.3436
43	59558.78091
44	59250.93938
45	58938.30737
46	58639.6129
47	58333.93169
48	57988.89965
49	57657.40002
50	57393.44637
51	57113.65964
52	56804.17112
53	56557.3327
54	56316.91372
55	56048.79391
56	55782.53215
57	55506.75518
58	55201.19626
59	54931.77368
60	54643.82778
61	54369.15982
62	54088.34576
63	53835.04942
64	53556.88024
65	53311.87975
66	53042.18363
67	52815.17702
68	52587.4349
69	52313.66362
70	52062.36091
71	51845.66031
72	51592.01835
73	51371.15603
74	51139.52161
75	50894.82175
76	50689.69961
77	50467.40412
78	50212.17256
79	49953.94627
80	49748.28155
81	49532.42249
82	49290.74304
83	49052.20117
84	48844.92692
85	48630.143
86	48432.31358
87	48192.28328
88	47962.11845
89	47753.86217
90	47553.18985
91	47333.55595
92	47148.56616
93	46941.58826
94	46740.98577
95	46579.29535
96	46387.43683
97	46195.20219
98	46010.21043
99	45818.74882
100	45630.24238
101	45464.61707
102	45270.22047
103	45077.93072
104	44898.46115
105	44721.78464
106	44523.37563
107	44346.51192
108	44167.99415
109	43990.48692
110	43823.31942
111	43669.4527
112	43495.2456
113	43324.49667
114	43156.94879
115	42992.27654
116	42806.93942
117	42655.33545
118	42492.09065
119	42342.3673
120	42200.37255
121	42031.61886
122	41881.18393
123	41730.45583
124	41577.95072
125	41403.49785
126	41241.12327
127	41106.66037
128	40931.9607
129	40781.58617
130	40617.62561
131	40488.91609
132	40344.83636
133	40214.99676
134	40086.16061
135	39970.2989
136	39825.36448
137	39696.58249
138	39541.84232
139	39399.15302
140	39270.45385
141	39172.14539
142	39036.92924
143	38912.97383
144	38782.75168
145	38650.39534
146	38513.88642
147	38414.89457
148	38303.69735
149	38197.15064
150	38058.62564
151	37945.21442
152	37830.64171
153	37704.78162
154	37601.83279
155	37494.49415
156	37379.24959
157	37297.94519
158	37192.12266
159	37084.72518
160	36974.94033
161	36852.14085
162	36752.59299
163	36650.63767
164	36538.39596
165	36430.1041
166	36331.32682
167	36239.913
168	36153.81077
169	36061.40923
170	35966.58332
171	35879.13621
172	35754.05163
173	35646.11147
174	35552.04463
175	35457.44749
176	35367.41627
177	35265.12961
178	35182.7278
179	35078.59878
180	34982.03366
181	34898.35439
182	34810.82597
183	34709.67283
184	34620.41138
185	34520.34909
186	34422.23559
187	34349.17071
188	34269.27813
189	34184.78968
190	34096.68027
191	34020.63297
192	33950.52481
193	33869.4295
194	33789.15006
195	33723.64828
196	33661.69772
197	33571.96413
198	33494.62125
199	33419.6008
200	33350.87985
201	33279.06716
202	33178.17841
203	33109.41994
204	33024.55773
205	32940.36098
206	32871.41105
207	32791.78202
208	32700.39807
209	32632.55617
210	32557.32585
211	32501.94981
212	32445.09167
213	32384.52582
214	32305.78553
215	32251.11391
216	32182.08036
217	32132.75072
218	32064.76221
219	32002.67935
220	31926.40575
221	31847.32438
222	31784.85069
223	31731.9609
224	31663.13255
225	31619.30884
226	31554.41119
227	31493.43943
228	31420.10912
229	31359.21211
230	31303.47846
231	31245.6768
232	31194.75316
233	31136.5853
234	31079.62908
235	31027.16427
236	30945.39412
237	30903.70436
238	30833.49214
239	30771.58456
240	30709.37217
241	30652.54053
242	30598.14842
243	30536.31137
244	30498.32183
245	30452.1543
246	30393.70345
247	30348.54903
248	30317.70659
249	30258.09727
250	30201.03327
251	30148.14574
252	30087.97239
253	30030.67603
254	29977.5875
255	29925.68828
256	29886.14802
257	29828.61994
258	29770.49289
259	29725.75275
260	29676.11701
261	29627.97272
262	29579.63525
263	29526.74986
264	29480.11483
265	29433.37785
266	29379.75043
267	29328.6205
268	29277.93747
269	29225.20939
270	29186.56941
271	29139.1298
272	29097.90098
273	29046.54917
274	28986.22897
275	28938.53968
276	28880.55901
277	28832.66848
278	28793.38922
279	28742.81845
280	28692.30626
281	28646.18332
282	28613.66607
283	28562.39605
284	28513.87814
285	28466.81276
286	28428.01798
287	28382.88373
288	28344.93195
289	28301.33217
290	28248.10155
291	28208.51828
292	28164.47711
293	28120.48668
294	28084.31714
295	28043.81865
296	28003.09176
297	27958.55906
298	27913.80805
299	27860.40256
300	27809.13006
301	27758.30825
302	27711.84848
303	27668.57787
304	27622.0801
305	27578.80146
306	27543.50815
307	27495.89556
308	27452.63515
309	27402.0081
310	27356.51984
311	27308.99885
312	27268.92169
313	27241.97862
314	27195.0095
315	27148.75657
316	27114.16743
317	27070.72072
318	27030.83735
319	26986.72015
320	26943.6015
321	26924.21574
322	26888.55624
323	26840.81249
324	26807.2949
325	26776.96065
326	26735.70832
327	26698.68372
328	26674.79272
329	26635.59939
330	26596.92246
331	26555.68329
332	26512.67382
333	26477.02589
334	26442.0965
335	26404.5653
336	26371.82688
337	26335.35208
338	26312.12605
339	26285.23407
340	26256.9773
341	26217.72312
342	26189.15652
343	26155.01935
344	26118.36039
345	26085.01563
346	26063.086
347	26027.23291
348	26002.38369
349	25976.62226
350	25949.91891
351	25922.90222
352	25889.54832
353	25864.98354
354	25831.74603
355	25796.7359
356	25760.33739
357	25733.42851
358	25697.64264
359	25667.89763
360	25645.27447
361	25621.43443
362	25596.45084
363	25559.53974
364	25527.26133
365	25499.60614
366	25465.55505
367	25445.92745
368	25413.28942
369	25388.53582
370	25357.20809
371	25325.64871
372	25292.82315
373	25267.32593
374	25247.41786
375	25225.61571
376	25206.60562
377	25173.89679
378	25147.63905
379	25119.59
380	25094.01406
381	25066.98027
382	25048.44953
383	25027.37859
384	24996.09016
385	24969.71854
386	24940.49018
387	24915.01296
388	24884.93121
389	24857.49623
390	24825.41708
391	24800.92462
392	24769.78375
393	24743.67759
394	24717.95538
395	24699.73114
396	24670.71132
397	24645.94779
398	24624.02135
399	24608.32241
400	24581.87305
401	24553.42767
402	24535.36586
403	24505.58034
404	24473.86629
405	24451.56669
406	24434.55768
407	24419.52115
408	24389.67762
409	24376.24713
410	24353.08909
411	24333.28619
412	24310.04532
413	24289.30366
414	24267.16305
415	24246.37273
416	24219.14023
417	24205.13819
418	24177.22074
419	24162.88526
420	24136.6713
421	24112.79216
422	24095.46928
423	24070.22834
424	24056.80089
425	24031.60001
426	24011.41812
427	23997.15168
428	23986.6548
429	23965.89483
430	23947.28621
431	23930.16189
432	23915.41512
433	23898.76519
434	23878.31798
435	23858.47496
436	23840.84059
437	23822.93946
438	23801.4724
439	23780.46887
440	23764.21345
441	23749.11699
442	23728.49917
443	23712.69005
444	23702.2475
445	23697.00131
446	23676.92977
447	23659.64429
448	23646.12934
449	23622.86143
450	23600.59888
451	23584.30942
452	23564.07146
453	23540.15141
454	23525.51782
455	23513.73496
456	23500.25301
457	23485.82287
458	23469.45475
459	23458.21613
460	23436.55018
461	23431.67363
462	23408.84893
463	23386.49008
464	23368.78795
465	23349.90961
466	23326.72548
467	23305.09364
468	23287.12826
469	23268.58299
470	23244.27315
471	23225.92878
472	23207.61432
473	23184.11395
474	23162.77672
475	23145.07005
476	23128.98268
477	23112.31443
478	23090.11693
479	23075.19353
480	23058.1852
481	23035.71847
482	23021.78367
483	23004.48877
484	22992.94088
485	22976.70445
486	22960.36105
487	22943.14361
488	22927.38138
489	22908.67075
490	22891.51988
491	22861.49916
492	22855.33011
493	22831.90517
494	22818.98952
495	22806.51512
496	22788.08444
497	22766.70702
498	22754.50473
499	22740.68163
500	22721.029
501	22705.63268
502	22690.4059
503	22677.49454
504	22667.51662
505	22647.69693
506	22630.38384
507	22615.68835
508	22601.50932
509	22594.796
510	22585.26518
511	22577.4325
512	22564.41261
513	22541.43688
514	22531.19668
515	22517.10525
516	22497.89173
517	22489.92275
518	22482.74937
519	22466.13207
520	22455.53505
521	22438.37461
522	22423.01884
523	22408.94642
524	22388.84679
525	22370.67782
526	22359.12542
527	22345.67376
528	22336.21274
529	22325.65404
530	22316.80243
531	22300.67985
532	22293.00453
533	22274.1082
534	22260.89444
535	22245.62375
536	22233.84551
537	22213.68264
538	22195.38302
539	22180.45833
540	22170.58694
541	22163.24536
542	22150.97258
543	22135.65609
544	22113.76206
545	22100.88828
546	22086.68464
547	22074.22224
548	22065.37199
549	22053.5887
550	22043.90391
551	22031.58858
552	22020.68943
553	22007.32716
554	21999.18484
555	21980.23676
556	21971.40356
557	21961.27197
558	21954.9571
559	21940.53751
560	21926.03491
561	21910.98295
562	21900.94679
563	21883.58135
564	21878.21765
565	21867.87311
566	21852.385
567	21842.35575
568	21825.99615
569	21812.41495
570	21793.72186
571	21780.70056
572	21769.48974
573	21757.49806
574	21739.27114
575	21729.89344
576	21722.71496
577	21710.68424
578	21695.02668
579	21680.65094
580	21670.46863
581	21660.38028
582	21651.23234
583	21638.50878
584	21621.4737
585	21611.18041
586	21602.75463
587	21591.98285
588	21579.06783
589	21561.92639
590	21554.55624
591	21536.18685
592	21523.99056
593	21515.95837
594	21506.14602
595	21486.99359
596	21476.96186
597	21464.0164
598	21443.74492
599	21437.19106
600	21424.33352
601	21411.48493
602	21399.9141
603	21382.12513
604	21368.27326
605	21352.70087
606	21333.79865
607	21321.05915
608	21311.60632
609	21305.12905
610	21297.40568
611	21286.06918
612	21278.44904
613	21272.87831
614	21262.22874
615	21251.05317
616	21237.39327
617	21231.48451
618	21224.9378
619	21211.66525
620	21202.18461
621	21195.7196
622	21188.01472
623	21173.95097
624	21162.95889
625	21158.10866
626	21140.421
627	21128.7216
628	21122.969
629	21115.87515
630	21104.74845
631	21092.36688
632	21080.8864
633	21072.1834
634	21059.22269
635	21052.17516
636	21041.5733
637	21027.10526
638	21019.94767
639	21010.80433
640	20995.44552
641	20989.20964
642	20983.54942
643	20978.71286
644	20973.77158
645	20966.99461
646	20961.32956
647	20948.90838
648	20942.17278
649	20933.92659
650	20920.53725
651	20911.48535
652	20902.17622
653	20887.49698
654	20879.28691
655	20870.41757
656	20864.49002
657	20854.33324
658	20848.68327
659	20840.96684
660	20827.93093
661	20814.64797
662	20807.16684
663	20796.86394
664	20785.57175
665	20774.04503
666	20766.70981
667	20755.99583
668	20744.62416
669	20735.24495
670	20724.68428
671	20717.1304
672	20707.5508
673	20700.99425
674	20693.55365
675	20679.91871
676	20667.19064
677	20655.06649
678	20645.10297
679	20630.56296
680	20621.13294
681	20612.84795
682	20602.03329
683	20587.04836
684	20576.41932
685	20569.73835
686	20556.33496
687	20550.01872
688	20537.16142
689	20527.52623
690	20512.25091
691	20487.22105
692	20472.84644
693	20460.72518
694	20455.69131
695	20449.05349
696	20441.13449
697	20432.18706
698	20425.56098
699	20410.64107
700	20405.291
701	20394.6383
702	20386.13905
703	20378.30886
704	20371.58541
705	20363.80875
706	20358.07354
707	20349.15625
708	20343.80131
709	20336.59693
710	20328.06423
711	20317.14935
712	20305.54125
713	20297.68954
714	20286.9258
715	20283.71662
716	20271.9543
717	20261.75096
718	20251.42044
719	20247.99484
720	20236.573
