iter	Passed	Remaining
0	160	160502
1	191	95647
2	224	74747
3	244	60988
4	275	54811
5	307	50909
6	340	48237
7	371	46100
8	402	44304
9	433	42898
10	464	41737
11	494	40692
12	524	39825
13	555	39096
14	585	38439
15	615	37880
16	641	37081
17	672	36672
18	703	36301
19	734	35977
20	765	35673
21	795	35366
22	825	35070
23	855	34802
24	887	34607
25	912	34186
26	943	33994
27	974	33840
28	1008	33777
29	1040	33646
30	1071	33483
31	1101	33323
32	1131	33170
33	1162	33038
34	1193	32917
35	1224	32799
36	1256	32709
37	1288	32607
38	1320	32540
39	1352	32461
40	1384	32382
41	1416	32303
42	1447	32208
43	1478	32125
44	1509	32028
45	1540	31947
46	1571	31863
47	1603	31812
48	1635	31733
49	1666	31662
50	1686	31378
51	1718	31324
52	1749	31252
53	1769	31003
54	1803	30984
55	1836	30961
56	1869	30933
57	1905	30941
58	1938	30912
59	1973	30923
60	2000	30792
61	2034	30782
62	2066	30739
63	2086	30521
64	2115	30434
65	2146	30376
66	2170	30231
67	2201	30176
68	2233	30136
69	2265	30097
70	2297	30067
71	2329	30029
72	2362	30006
73	2394	29961
74	2425	29913
75	2457	29873
76	2482	29751
77	2512	29696
78	2543	29647
79	2574	29601
80	2607	29580
81	2662	29806
82	2711	29960
83	2753	30028
84	2788	30018
85	2822	29999
86	2855	29961
87	2887	29925
88	2920	29891
89	2953	29858
90	2985	29821
91	3020	29810
92	3052	29768
93	3082	29713
94	3113	29662
95	3144	29612
96	3179	29598
97	3212	29567
98	3243	29519
99	3274	29467
100	3305	29419
101	3340	29408
102	3374	29384
103	3405	29338
104	3436	29290
105	3466	29237
106	3496	29185
107	3528	29142
108	3561	29114
109	3592	29070
110	3625	29035
111	3656	28994
112	3687	28943
113	3718	28896
114	3749	28854
115	3780	28811
116	3812	28769
117	3844	28733
118	3876	28697
119	3901	28610
120	3932	28564
121	3964	28529
122	3996	28492
123	4028	28457
124	4059	28414
125	4089	28367
126	4119	28318
127	4150	28277
128	4181	28235
129	4214	28207
130	4245	28164
131	4279	28137
132	4311	28102
133	4342	28064
134	4375	28033
135	4407	28002
136	4438	27956
137	4469	27917
138	4500	27875
139	4530	27831
140	4561	27790
141	4581	27684
142	4612	27641
143	4644	27607
144	4675	27568
145	4707	27533
146	4738	27497
147	4769	27454
148	4800	27416
149	4831	27377
150	4862	27339
151	4893	27300
152	4925	27267
153	4957	27236
154	4989	27201
155	5021	27168
156	5052	27127
157	5086	27109
158	5117	27070
159	5147	27026
160	5179	26991
161	5210	26951
162	5244	26928
